"Model","all","confidence_weighting","most_spiked_location","most_spiked_patch","top_percent"
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.05_30000_1_True_0.75",72.01,72.33,70.66,71.88,71.13
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.2_30000_3_True_0.75",71.95,72.3,70.5,71.8,71.2
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.125_30000_3_True_0.75",71.93,71.83,70.44,70.86,69.52
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.5_30000_2_True_0.75",71.92,72.29,70.65,72.15,71.1
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.05_30000_3_True_0.75",71.84,71.94,70.27,71.14,69.93
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.075_30000_3_True_0.75",71.71,72.21,70.11,71.46,71.39
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.125_30000_1_True_0.75",71.69,73.69,71.19,71.52,71.3
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.15_30000_1_True_0.75",71.63,71.5,71.51,72.21,71.49
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.1_30000_1_True_0.75",70.86,71.4,68.22,70.3,69.67
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.15_30000_1_True_0.75",70.77,71.99,68.45,70.73,70.81
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.25_30000_1_True_0.75",70.74,70.64,69.72,70.47,70.41
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.1_30000_3_True_0.75",70.64,70.54,69.22,70.53,69.05
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.5_30000_3_True_0.75",70.64,70.79,68.41,70.17,69.17
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.15_30000_2_True_0.75",70.63,71.45,68.62,69.46,68.79
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.5_30000_1_True_0.75",70.19,69.82,69.65,70.54,69.32
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.075_30000_1_True_0.75",68.65,69.13,67.56,69.34,69.19
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.1_30000_1_True_0.75",67.56,69.67,67.36,68.15,68.85
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.75_30000_1_True_0.75",14.12,13.32,8.29,12.53,11.03
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.75_30000_2_True_0.75",10.95,10.37,10.16,11.05,8.13
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.75_30000_3_True_0.75",10.33,10.36,10.1,16.82,8.08
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.75_30000_3_True_0.75",7.09,5.6,8.4,9.85,7.83
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.75_30000_2_True_0.75",6.92,8.05,9.53,5.54,5.73
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.75_30000_1_True_0.75",5.56,6.27,6.69,8.49,7.49
